run_accession,te,reads,reads_in_file,reads_mapped
SRR1663603,Dmel_rpl32,603,19536583,1713736
SRR1663603,Dmel_rhi,1442,19536583,1713736
SRR1663603,Dmel_tj,951,19536583,1713736
SRR1663603,BS4,153,19536583,1713736
SRR1663603,BS3,4232,19536583,1713736
SRR1663603,G-element,9507,19536583,1713736
SRR1663603,ZAM,6633,19536583,1713736
SRR1663603,Idefix,28517,19536583,1713736
SRR1663603,opus,18217,19536583,1713736
SRR1663603,jockey2,3292,19536583,1713736
SRR1663603,1731,9642,19536583,1713736
SRR1663603,pogo,5950,19536583,1713736
SRR1663603,Rt1c,6132,19536583,1713736
SRR1663603,R2-element,20428,19536583,1713736
SRR1663603,Rt1b,27064,19536583,1713736
SRR1663603,Rt1a,11991,19536583,1713736
SRR1663603,Helena,1432,19536583,1713736
SRR1663603,Tom1,547,19536583,1713736
SRR1663603,Doc,31763,19536583,1713736
SRR1663603,Dtei:I-element,924,19536583,1713736
SRR1663603,springer,8354,19536583,1713736
SRR1663603,Tirant,9500,19536583,1713736
SRR1663603,Osvaldo,868,19536583,1713736
SRR1663603,Dhyd:Minos,56,19536583,1713736
SRR1663603,Dsub:SGM,15,19536583,1713736
SRR1663603,R1-2,1284,19536583,1713736
SRR1663603,S-element,7647,19536583,1713736
SRR1663603,gtwin,5882,19536583,1713736
SRR1663603,hopper2,2102,19536583,1713736
SRR1663603,Dvir:Helena,9594,19536583,1713736
SRR1663603,G5A,4809,19536583,1713736
SRR1663603,Transpac,15484,19536583,1713736
SRR1663603,copia,12775,19536583,1713736
SRR1663603,rover,14989,19536583,1713736
SRR1663603,Cr1a,70144,19536583,1713736
SRR1663603,S2,2148,19536583,1713736
SRR1663603,gypsy,8472,19536583,1713736
SRR1663603,Helitron,57,19536583,1713736
SRR1663603,Dbuz:ISBu2,14,19536583,1713736
SRR1663603,McClintock,11101,19536583,1713736
SRR1663603,Dm88,13068,19536583,1713736
SRR1663603,1360,46047,19536583,1713736
SRR1663603,diver,14043,19536583,1713736
SRR1663603,Stalker,25115,19536583,1713736
SRR1663603,INE-1,8505,19536583,1713736
SRR1663603,Dvir:Tv1,30,19536583,1713736
SRR1663603,TAHRE,6613,19536583,1713736
SRR1663603,BS,8597,19536583,1713736
SRR1663603,Dsub:GEM,208,19536583,1713736
SRR1663603,412,32123,19536583,1713736
SRR1663603,Doc4-element,3734,19536583,1713736
SRR1663603,diver2,11864,19536583,1713736
SRR1663603,Max-element,19747,19536583,1713736
SRR1663603,F-element,66044,19536583,1713736
SRR1663603,Fw2,2508,19536583,1713736
SRR1663603,Fw3,1904,19536583,1713736
SRR1663603,Burdock,12813,19536583,1713736
SRR1663603,Dvir:TART,704,19536583,1713736
SRR1663603,Tc1-2,4187,19536583,1713736
SRR1663603,blood,25256,19536583,1713736
SRR1663603,Dtak:R1A2,3,19536583,1713736
SRR1663603,TART-A,2403,19536583,1713736
